,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
0,2016 Maruti BalenoZETA 1.2 K12 Manual,"6,21,899","â‚¹13,834/month","1,03,354 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoZETA 1.2 K12'],2016,['Manual'],"1,03,354",1,Petrol,"13,834"
1,2015 Honda Jazz1.2 V AT Automatic,"5,24,199","â‚¹11,661/month","65,571 km
2nd Owner
Petrol",Hyderabad,Honda,['Jazz1.2 V AT'],2015,['Automatic'],"65,571",2,Petrol,"11,661"
2,2012 Maruti SwiftZDI Manual,"4,76,699","â‚¹10,604/month","78,819 km
2nd Owner
Diesel",Hyderabad,Maruti,['SwiftZDI'],2012,['Manual'],"78,819",2,Diesel,"10,604"
3,2016 Maruti Alto 800LXI Manual,"2,95,499","â‚¹6,573/month","20,215 km
2nd Owner
Petrol",Hyderabad,Maruti,['Alto 800LXI'],2016,['Manual'],"20,215",2,Petrol,"6,573"
4,2010 Hyundai i20SPORTZ 1.2 O Manual,"3,78,299","â‚¹8,415/month","79,222 km
2nd Owner
Petrol",Hyderabad,Hyundai,['i20SPORTZ 1.2 O'],2010,['Manual'],"79,222",2,Petrol,"8,415"
5,2015 Maruti Alto K10VXI Manual,"2,73,299","â‚¹6,079/month","2,34,695 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2015,['Manual'],"2,34,695",1,Petrol,"6,079"
6,2018 Volkswagen AmeoHIGHLINE PLUS 1.0 Manual,"6,21,899","â‚¹13,834/month","65,235 km
1st Owner
Petrol",Hyderabad,Volkswagen,['AmeoHIGHLINE PLUS 1.0'],2018,['Manual'],"65,235",1,Petrol,"13,834"
7,2018 Maruti Vitara BrezzaVDI AMT Automatic,"8,00,499","â‚¹17,807/month","81,477 km
2nd Owner
Diesel",Hyderabad,Maruti,['Vitara BrezzaVDI AMT'],2018,['Automatic'],"81,477",2,Diesel,"17,807"
8,2020 Hyundai VENUE1.5 SX CRDI MT Manual,"10,42,799","â‚¹23,196/month","40,139 km
1st Owner
Diesel",Hyderabad,Hyundai,['VENUE1.5 SX CRDI MT'],2020,['Manual'],"40,139",1,Diesel,"23,196"
9,2020 Maruti CiazALPHA 1.5 AT VTVT SHVS ,"11,03,199","â‚¹24,540/month","35,019 km
1st Owner
Petrol",Hyderabad,Maruti,[],2020,[],"35,019",1,Petrol,"24,540"
10,2011 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"2,96,999","â‚¹6,607/month","72,366 km
3rd Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2011,['Manual'],"72,366",3,Petrol,"6,607"
11,2017 Honda JazzVX  1.2 Manual,"5,86,399","â‚¹13,044/month","75,366 km
2nd Owner
Petrol",Hyderabad,Honda,['JazzVX  1.2'],2017,['Manual'],"75,366",2,Petrol,"13,044"
12,2011 Maruti Alto K10LXI Manual,"2,40,999","â‚¹5,361/month","86,129 km
2nd Owner
Petrol",Hyderabad,Maruti,['Alto K10LXI'],2011,['Manual'],"86,129",2,Petrol,"5,361"
13,2018 Maruti CelerioVXI AMT Automatic,"4,82,499","â‚¹10,733/month","37,636 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioVXI AMT'],2018,['Automatic'],"37,636",1,Petrol,"10,733"
14,2019 Maruti AltoVXI Manual,"4,14,499","â‚¹9,220/month","41,432 km
1st Owner
Petrol",Hyderabad,Maruti,['AltoVXI'],2019,['Manual'],"41,432",1,Petrol,"9,220"
15,2016 Maruti Wagon R 1.0VXI Manual,"4,05,899","â‚¹9,029/month","39,789 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2016,['Manual'],"39,789",1,Petrol,"9,029"
16,2017 Maruti Alto 800LXI Manual,"3,08,199","â‚¹6,856/month","61,247 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto 800LXI'],2017,['Manual'],"61,247",1,Petrol,"6,856"
17,2011 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,36,999","â‚¹7,496/month","16,968 km
2nd Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2011,['Manual'],"16,968",2,Petrol,"7,496"
18,2013 Honda Brio1.2 VX AT I VTEC Automatic,"4,47,099","â‚¹9,945/month","27,101 km
2nd Owner
Petrol",Hyderabad,Honda,['Brio1.2 VX AT I VTEC'],2013,['Automatic'],"27,101",2,Petrol,"9,945"
19,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,59,599","â‚¹10,224/month","21,336 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"21,336",1,Petrol,"10,224"
20,2018 Maruti Alto K10VXI Manual,"3,82,199","â‚¹8,502/month","35,261 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2018,['Manual'],"35,261",1,Petrol,"8,502"
21,2016 Volkswagen AmeoHIGHLINE 1.2 Manual,"5,31,799","â‚¹11,830/month","15,055 km
1st Owner
Petrol",Hyderabad,Volkswagen,['AmeoHIGHLINE 1.2'],2016,['Manual'],"15,055",1,Petrol,"11,830"
22,2015 Maruti CelerioVXI AMT Automatic,"3,95,999","â‚¹8,809/month","86,905 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioVXI AMT'],2015,['Automatic'],"86,905",1,Petrol,"8,809"
23,2014 Maruti SwiftVXI Manual,"4,85,199","â‚¹10,793/month","41,934 km
1st Owner
Petrol",Hyderabad,Maruti,['SwiftVXI'],2014,['Manual'],"41,934",1,Petrol,"10,793"
24,2016 Maruti Wagon R 1.0VXI Manual,"4,31,599","â‚¹9,601/month","55,405 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2016,['Manual'],"55,405",1,Petrol,"9,601"
25,2017 Maruti SwiftLXI Manual,"5,57,199","â‚¹12,395/month","29,553 km
2nd Owner
Petrol",Hyderabad,Maruti,['SwiftLXI'],2017,['Manual'],"29,553",2,Petrol,"12,395"
26,2018 Datsun Redi GoT (O) S-DRIVE Manual,"3,14,599","â‚¹6,998/month","23,561 km
1st Owner
Petrol",Hyderabad,Datsun,['Redi GoT (O) S-DRIVE'],2018,['Manual'],"23,561",1,Petrol,"6,998"
27,2015 Maruti Swift DzireVXI 1.2 BS IV Manual,"5,11,699","â‚¹11,382/month","56,530 km
1st Owner
Petrol",Hyderabad,Maruti,['Swift DzireVXI 1.2 BS IV'],2015,['Manual'],"56,530",1,Petrol,"11,382"
28,2017 Maruti CelerioZXI Manual,"4,31,399","â‚¹9,596/month","51,010 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioZXI'],2017,['Manual'],"51,010",1,Petrol,"9,596"
29,2019 Volkswagen PoloTrendline 1.0 L Petrol Manual,"5,90,099","â‚¹13,126/month","51,864 km
2nd Owner
Petrol",Hyderabad,Volkswagen,['PoloTrendline 1.0 L Petrol'],2019,['Manual'],"51,864",2,Petrol,"13,126"
30,2018 Maruti IGNISZETA 1.2 K12 Manual,"5,70,099","â‚¹12,682/month","45,313 km
1st Owner
Petrol",Hyderabad,Maruti,['IGNISZETA 1.2 K12'],2018,['Manual'],"45,313",1,Petrol,"12,682"
31,2011 Hyundai i20SPORTZ 1.2 O Manual,"3,98,499","â‚¹8,864/month","83,883 km
5th Owner
Petrol",Hyderabad,Hyundai,['i20SPORTZ 1.2 O'],2011,['Manual'],"83,883",5,Petrol,"8,864"
32,2017 Renault KwidCLIMBER 1.0 AT Automatic,"4,16,899","â‚¹9,274/month","36,933 km
2nd Owner
Petrol",Hyderabad,Renault,['KwidCLIMBER 1.0 AT'],2017,['Automatic'],"36,933",2,Petrol,"9,274"
33,2018 Renault Kwid1.0 RXT Opt AT Automatic,"4,23,899","â‚¹9,429/month","29,061 km
1st Owner
Petrol",Hyderabad,Renault,['Kwid1.0 RXT Opt AT'],2018,['Automatic'],"29,061",1,Petrol,"9,429"
34,2020 Ford Ecosport1.5 TITANIUM PLUS TI VCT AT Automatic,"12,26,099","â‚¹27,274/month","5,634 km
1st Owner
Petrol",Hyderabad,Ford,['Ecosport1.5 TITANIUM PLUS TI VCT AT'],2020,['Automatic'],"5,634",1,Petrol,"27,274"
35,2013 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,80,999","â‚¹8,475/month","26,355 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2013,['Manual'],"26,355",1,Petrol,"8,475"
